State,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20,6/13/20,6/20/20,6/27/20
Puerto Rico,0,0,0,0,0,0,0,0,21,79,352,336,330,189,450,416,416,511,618,1197,775,773,603
Virgin Islands,0,0,0,0,0,0,0,0,6,16,18,11,2,2,11,2,1,0,0,2,1,1,8
Alabama,0,0,0,0,0,0,0,7,124,563,920,1603,1495,1314,1585,2057,2006,2443,3242,2684,4558,4948,5534
Alaska,0,0,0,0,0,0,0,1,12,72,86,86,57,25,26,13,10,19,26,102,118,88,110
Arizona,0,1,0,0,0,0,3,8,92,669,1246,1374,1331,1562,2078,2596,2706,2387,3205,6193,9209,15467,19997
Arkansas,0,0,0,0,0,0,0,12,110,287,334,485,516,1167,461,375,831,1197,1238,2088,2994,3047,4168
California,0,3,3,2,2,2,69,291,1033,3690,7742,8869,8785,11877,10979,13211,12167,13814,17356,18698,21425,25195,35371
Colorado,0,0,0,0,0,0,8,95,372,1586,2504,2328,2547,3528,3257,3150,2258,2331,2120,1750,1168,1331,1673
Connecticut,0,0,0,0,0,0,0,23,171,1330,3752,6234,6040,7033,4704,3697,3719,3319,2000,1796,1176,721,491
Delaware,0,0,0,0,0,0,0,6,39,169,379,886,1059,1038,1462,1239,1270,982,893,423,384,452,410
District of Columbia,0,0,0,0,0,0,0,0,98,206,598,876,888,1033,1098,1305,940,924,751,552,440,275,232
Florida,0,0,0,0,0,0,7,69,687,3000,7774,6957,6998,5347,4624,4538,4810,5316,5297,7334,10794,20245,38748
Georgia,0,0,0,0,0,0,5,68,482,1811,3794,5999,5510,5553,5109,4257,4624,5030,4089,5028,5445,7005,11176
Hawaii,0,0,0,0,0,0,1,3,32,113,202,114,109,31,15,11,8,4,8,22,50,66,83
Idaho,0,0,0,0,0,0,0,2,40,192,788,374,259,232,174,144,214,176,208,336,214,651,1318
