State,01/04/2020,01/11/2020,01/18/2020,01/25/2020,02/01/2020,02/08/2020,02/15/2020,02/22/2020,02/29/2020,03/07/2020,03/14/2020,03/21/2020,03/28/2020,04/04/2020,04/11/2020,04/18/2020,04/25/2020,05/02/2020,05/09/2020,05/16/2020,05/23/2020,05/30/2020,06/06/2020,06/13/2020
Alabama,4578,3629,2483,2129,2170,2176,1981,1735,1575,1663,1819,10892,80984,106739,77515,66432,74966,28985,26666,25150,27919,21335,19949,18367
Alaska,981,1371,1181,1003,1122,980,915,773,874,815,1120,7847,13774,14590,12007,12201,10313,8718,7807,7741,8152,7452,7081,6797
Arkansas,2576,2493,1729,1683,1837,1724,1602,1055,1418,1843,1382,9275,27756,62086,35629,25404,17671,13448,13152,11427,10825,8481,9663,9381
Arizona,3132,4654,4152,3475,3807,3636,3538,3151,3086,3357,3844,29348,88940,132428,98531,72457,52581,43023,31570,31957,26868,22012,24367,22419
California,36720,51993,64858,45596,43458,40392,43445,34979,41678,43385,57606,186333,1058325,918814,655472,528360,325343,316257,212667,244431,203262,228634,255836,241424
Colorado,2431,3001,2522,2164,2049,2482,2209,1862,1681,1865,2321,19774,61838,46326,104572,67639,38662,28360,22732,18054,15719,12519,13098,10382
Connecticut,7852,5986,3776,2949,2994,2944,2520,2435,2843,2527,3440,25100,33227,33464,34050,102808,33041,36138,30046,25960,16603,14208,15366,11852
Delaware,875,1107,830,674,622,608,610,632,524,518,472,10776,19137,18851,13258,9446,7947,6297,5197,5554,4651,3052,3037,2516
District of Columbia,481,706,594,534,539,508,473,422,452,471,1213,14462,15869,15329,9974,8639,8708,8113,5782,5196,5135,3559,3385,3065
Florida,4618,6862,6088,5206,5457,5605,5229,4861,4853,5325,6463,74313,228484,169885,180419,506670,433103,174860,223082,225404,175411,207707,112161,88148
Georgia,17060,17962,8161,5257,5199,5577,6277,5030,5538,4569,5445,12140,133820,390132,319581,247003,266565,228352,242772,177731,165499,149163,135254,131997
Hawaii,1825,1826,1234,1014,1135,1137,1199,1020,1049,1275,1589,8817,48596,53102,34717,26591,22496,15177,12329,10964,9140,7702,7338,7248
Idaho,2957,2131,2172,1821,1446,1443,1356,1114,998,938,1031,13586,32941,30904,18531,13023,8827,7495,5795,5800,4727,3646,3953,3631
Illinois,11779,12703,14807,9762,9343,9794,8045,11812,8980,8727,11305,126716,185575,202157,140787,118996,101322,74476,72671,72780,58263,46385,44606,44694
Indiana,4434,4890,3741,2956,3016,2725,2556,2979,2276,2223,2596,59755,139174,127010,113755,72756,55774,42290,29668,29436,25523,22914,22931,24017
