State,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20,6/13/20,6/20/20,6/27/20,7/4/20,7/11/20,7/18/20,7/25/20,8/1/20,8/8/20,8/15/20,8/22/20,8/29/20
Alabama,0,0,0,0,0,0,0,7,124,563,920,1603,1495,1314,1585,2057,2006,2443,3242,2684,4558,4948,5534,7779,9085,13287,12896,11219,10824,7407,6952,9357
Alaska,0,0,0,0,0,0,0,1,12,72,86,86,57,25,26,13,10,19,26,102,118,88,110,256,278,411,543,797,477,543,521,505
Arizona,0,1,0,0,0,0,3,8,92,669,1246,1374,1331,1562,2078,2596,2706,2387,3205,6193,9209,15467,19997,24443,25363,21335,18776,16961,9105,6547,5241,3392
Arkansas,0,0,0,0,0,0,0,12,110,287,334,485,516,1167,461,375,831,1197,1238,2088,2994,3047,4168,3899,4655,4669,5448,5192,5638,3181,4207,4179
California,0,3,3,2,2,2,69,291,1040,3698,7727,8880,8794,11857,10979,13225,12153,13839,17331,18711,21428,25209,35449,42203,65866,61984,65707,60161,47775,63606,46441,37603
Colorado,0,0,0,0,0,0,8,95,372,1586,2504,2328,2547,3528,3257,3150,2258,2331,2120,1750,1168,1331,1673,1843,2724,3197,4001,3478,3057,2513,2045,2156
Connecticut,0,0,0,0,0,0,0,23,171,1330,3752,6234,6040,7033,4704,3697,3719,3319,2000,1796,1176,721,491,511,570,606,883,1034,510,577,622,976
Delaware,0,0,0,0,0,0,0,6,39,169,379,886,1059,1038,1462,1239,1270,982,893,423,384,452,410,905,747,686,746,702,625,894,432,521
District of Columbia,0,0,0,0,0,0,0,0,98,206,598,876,888,1033,1098,1305,940,924,751,552,440,275,232,231,354,393,523,488,448,506,375,391
Florida,0,0,0,0,0,0,7,69,687,3000,7774,6957,6998,5347,4624,4538,4810,5316,5297,7334,10794,20245,38748,57507,64459,83058,76942,65517,46549,43060,27960,21406
