State,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20,6/13/20,6/20/20,6/27/20
Puerto Rico,0,0,0,0,0,0,0,0,21,100,452,788,1118,1307,1757,2173,2589,3100,3718,4915,5690,6463,7066
Virgin Islands,0,0,0,0,0,0,0,0,6,22,40,51,53,55,66,68,69,69,69,71,72,73,81
Alabama,0,0,0,0,0,0,0,7,131,694,1614,3217,4712,6026,7611,9668,11674,14117,17359,20043,24601,29549,35083
Alaska,0,0,0,0,0,0,0,1,13,85,171,257,314,339,365,378,388,407,433,535,653,741,851
Arizona,0,1,1,1,1,1,4,12,104,773,2019,3393,4724,6286,8364,10960,13666,16053,19258,25451,34660,50127,70124
Arkansas,0,0,0,0,0,0,0,12,122,409,743,1228,1744,2911,3372,3747,4578,5775,7013,9101,12095,15142,19310
California,0,3,6,8,10,12,81,372,1405,5095,12837,21706,30491,42368,53347,66558,78725,92539,109895,128593,150018,175213,210584
Colorado,0,0,0,0,0,0,8,103,475,2061,4565,6893,9440,12968,16225,19375,21633,23964,26084,27834,29002,30333,32006
Connecticut,0,0,0,0,0,0,0,23,194,1524,5276,11510,17550,24583,29287,32984,36703,40022,42022,43818,44994,45715,46206
Delaware,0,0,0,0,0,0,0,6,45,214,593,1479,2538,3576,5038,6277,7547,8529,9422,9845,10229,10681,11091
District of Columbia,0,0,0,0,0,0,0,0,98,304,902,1778,2666,3699,4797,6102,7042,7966,8717,9269,9709,9984,10216
Florida,0,0,0,0,0,0,7,76,763,3763,11537,18494,25492,30839,35463,40001,44811,50127,55424,62758,73552,93797,132545
Georgia,0,0,0,0,0,0,5,73,555,2366,6160,12159,17669,23222,28331,32588,37212,42242,46331,51359,56804,63809,74985
Hawaii,0,0,0,0,0,0,1,4,36,149,351,465,574,605,620,631,639,643,651,673,723,789,872
Idaho,0,0,0,0,0,0,0,2,42,234,1022,1396,1655,1887,2061,2205,2419,2595,2803,3139,3353,4004,5322
Illinois,1,2,2,2,2,2,6,64,753,3491,10357,19180,29160,41777,58505,76085,92457,107796,118917,126890,131871,136104,141077
Indiana,0,0,0,0,0,0,1,16,128,1233,3953,7435,10641,14399,19295,23732,27280,30901,34211,36997,39543,42061,44575
Iowa,0,0,0,0,0,0,0,17,69,298,787,1510,2513,5092,8643,11671,14328,16898,19244,21478,23717,25496,28073
