"Y_(s,t)",State,Week,"COVID_(s,t)",State_i x t,Agriculture/Forestry/Fishing and Hunting %,Mining %,Utilities %,Construction %,Manufacturing %,Wholesale Trade %,Retail Trade %,Transporation and Warehousing %,Information %,Finance and Insurance %,"Real Estate, Rental and Leasing %",Professional/Scientific/Technical Services %,Management of Companies and Enterprises %,Administration and Support/Waste Management and Remedial Services %,Educational Services %,Healthcare and Social Assistance %,"Arts, Entertainment and Recreation %",Accomodation and Food Services %,Other Services (except Public Administration) %,Public Administration %,Information Not Available %,Agriculture/Forestry/Fishing and Hunting,Mining,Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transporation and Warehousing,Information,Finance and Insurance,"Real Estate, Rental and Leasing",Professional/Scientific/Technical Services,Management of Companies and Enterprises,Administration and Support/Waste Management and Remedial Services,Educational Services,Healthcare and Social Assistance,"Arts, Entertainment and Recreation",Accomodation and Food Services,Other Services (except Public Administration),Public Administration,Information Not Available
2129,Alabama,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,Alabama,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2176,Alabama,3,0,3,0.8,0.8,0.2,12.4,17.7,3.4,8.6,3.6,0.9,3.4,1.6,4.1,0.2,14.1,1.5,6.9,0.6,4.5,2.1,0.9,10.8,130,129,30,2000,2866,546,1395,586,150,551,253,668,35,2290,244,1111,102,731,346,153,1743
1981,Alabama,4,0,4,0.8,0.8,0.2,12.4,17.7,3.4,8.6,3.6,0.9,3.4,1.6,4.1,0.2,14.1,1.5,6.9,0.6,4.5,2.1,0.9,10.8,130,129,30,2000,2866,546,1395,586,150,551,253,668,35,2290,244,1111,102,731,346,153,1743
1735,Alabama,5,0,5,0.8,0.8,0.2,12.4,17.7,3.4,8.6,3.6,0.9,3.4,1.6,4.1,0.2,14.1,1.5,6.9,0.6,4.5,2.1,0.9,10.8,130,129,30,2000,2866,546,1395,586,150,551,253,668,35,2290,244,1111,102,731,346,153,1743
1575,Alabama,6,0,6,0.8,0.8,0.2,12.4,17.7,3.4,8.6,3.6,0.9,3.4,1.6,4.1,0.2,14.1,1.5,6.9,0.6,4.5,2.1,0.9,10.8,130,129,30,2000,2866,546,1395,586,150,551,253,668,35,2290,244,1111,102,731,346,153,1743
1663,Alabama,7,0,7,0.7,0.5,0.2,10.9,18.1,3.5,9.2,4.1,1.1,4.1,1.7,4.7,0.2,14.8,1.5,7.6,0.6,4.8,2.1,0.8,8.2,92,64,26,1369,2273,440,1154,515,138,512,210,588,26,1865,183,954,79,604,264,102,1029
1819,Alabama,8,7,8,0.7,0.5,0.2,10.9,18.1,3.5,9.2,4.1,1.1,4.1,1.7,4.7,0.2,14.8,1.5,7.6,0.6,4.8,2.1,0.8,8.2,92,64,26,1369,2273,440,1154,515,138,512,210,588,26,1865,183,954,79,604,264,102,1029
10892,Alabama,9,124,9,0.7,0.5,0.2,10.9,18.1,3.5,9.2,4.1,1.1,4.1,1.7,4.7,0.2,14.8,1.5,7.6,0.6,4.8,2.1,0.8,8.2,92,64,26,1369,2273,440,1154,515,138,512,210,588,26,1865,183,954,79,604,264,102,1029
80984,Alabama,10,563,10,0.7,0.5,0.2,10.9,18.1,3.5,9.2,4.1,1.1,4.1,1.7,4.7,0.2,14.8,1.5,7.6,0.6,4.8,2.1,0.8,8.2,92,64,26,1369,2273,440,1154,515,138,512,210,588,26,1865,183,954,79,604,264,102,1029
